"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
2;"C18,C20,C19,C72";"EEF-GX";4;"560uF";;;
3;"L1";"SLC1049";1;"75nH";;;
4;"TXD2,RXD2,DIR_LO1,DIR_HI1,CTSI1,0.9V1";"TestPoint_Pad_D1.0mm";6;"TestPoint";;;
5;"C43,C15,C14,C16,C17";"C_1210_3225Metric";5;"100uF";;;
6;"J1";"TENSILITY_54-00164";1;"54-00164";;;
7;"J5";"USB_C_Receptacle_GCT_USB4105-xx-A";1;"USB_C_Receptacle_USB2.0";;;
8;"J6";"470531000";1;"Conn_01x04";;;
9;"U2";"LQFN40-CLIP";1;"TPS546D24ARVFR";;;
10;"R77,R35,R78,R19,R6,R17,R27,R73,R76,R26,R79,R10,R75,R20";"R_0402_1005Metric";14;"0";;;
11;"R74";"R_0402_1005Metric";1;"40k";;;
12;"R21,R72,R36,R25,R37,R15,R16";"R_0402_1005Metric";7;"10k";;;
13;"C51,C4,C3";"C_1210_3225Metric";3;"47uF";;;
14;"C9";"C_0402_1005Metric";1;"2200pF";;;
15;"R80,R1,R5,R82,R81";"R_0402_1005Metric";5;"4.64k";;;
16;"R38";"R_0402_1005Metric";1;"1k";;;
17;"C40,C39,C22,C23,C7,C5,C26,C1,C21,C30";"C_0402_1005Metric";10;"1uF";;;
18;"R23,R18,R22";"R_0402_1005Metric";3;"100";;;
19;"R33";"R_0402_1005Metric";1;"33";;;
20;"R12";"R_1206_3216Metric";1;"1";;;
21;"C13";"C_0402_1005Metric";1;"100pF";;;
22;"R29";"R_0402_1005Metric";1;"550";;;
23;"R11";"R_0402_1005Metric";1;"10";;;
24;"C24,C33,C2";"C_0805_2012Metric";3;"10uF";;;
25;"C10";"C_0402_1005Metric";1;"4.7uF";;;
26;"R31";"R_0402_1005Metric";1;"335";;;
27;"Q4";"SOT-23";1;"MMBT2222A";;;
28;"C6";"C_0402_1005Metric";1;"4700pF";;;
29;"R30";"R_0402_1005Metric";1;"500";;;
30;"C25,C27,C29,C74,C8,C49,C73,C38,C53,C28,C34,C47,C37,C32,C52,C31";"C_0402_1005Metric";16;"0.1uF";;;
31;"U7";"SMD3225-4P";1;"24MHz";;;
32;"C12";"C_0603_1608Metric";1;"0.1uF";;;
33;"U10";"TSSOP-8_3x3mm_P0.65mm";1;"EMC2101";;;
34;"U5";"SOT-23-5";1;"SPX3819M5-L-1-8";;;
35;"Q3,Q1";"SOT-23";2;"MMBT3906";;;
36;"R9";"R_0402_1005Metric";1;"11.8k";;;
37;"R13,R14";"R_0402_1005Metric";2;"49.9";;;
38;"U9";"TSSOP-16_4.4x5mm_P0.65mm";1;"SN74AVC4T774";;;
39;"R34";"R_0402_1005Metric";1;"27";;;
40;"R28";"R_0402_1005Metric";1;"440";;;
41;"R24";"R_0402_1005Metric";1;"5.6k";;;
42;"R32";"R_0402_1005Metric";1;"400";;;
43;"U23";"TSSOP-8_4.4x3mm_P0.65mm";1;"LM358";;;
44;"C50";"C_0402_1005Metric";1;"470pF";;;
45;"C11";"C_0402_1005Metric";1;"1000pF";;;
46;"U3";"RT9080-33GJ5";1;"RT9080-33GJ5";;;
47;"U8";"KF1950";1;"~";;;
48;"SW1,SW2";"SW_CS1213AGF260_CRS";2;"GT-TC029B-H025-L1N";;;
49;"J7";"JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical";1;"Conn_01x04";;;
50;"R8";"R_0402_1005Metric";1;"3.74k";;;
