Comment,Reference,,PARTNO,DK,LCSC,DNP,,,,
4700pF,C6,,GRM155R71E472KA01D,490-1309-1-ND,,,,,,
2200pF,C9,,GRM155R61H222KA01D,490-8257-1-ND,,,,,,
4.7uF,C10,,GRM155R61A475MEAAD,490-14306-1-ND,,,,,,
1000pF,C11,,CC0805KRX7R9BB102,311-1127-1-ND,,,,,,
0.1uF,C12,,CL05A104KO5NNNC,1276-1234-1-ND,,,,,,
100pF,C13,,8.85E+11,732-7431-1-ND,,,,,,
100uF,C35,,,,,DNP,,,,
470pF,C50,,CL05B471KB5NNNC,1276-1566-1-ND,,,,,,
1uF,C1 C5 C7 C21 C22 C23 C26 C30 C39 C40,,EMK105BJ105MV-F,587-5514-1-ND,,,,,,
100uF,C14 C15 C16 C17 C43,,GRM32EC80J107ME20L,,,,,,,
560uF,C18 C19 C20 C72,,EEF-GX0D561R,,,,,,,
10uF,C2 C24 C33,,CL21A106KOQNNNE,1276-1096-1-ND,,,,,,
47uF,C3 C4 C51,,CL32A476KOJNNNE,1276-3376-1-ND,,,,,,
0.1uF,C8 C25 C27 C28 C29 C31 C32 C34 C37 C38 C47 C49 C52 C53 C73 C74,,CL05A104KO5NNNC,EMK105BJ105MV-F,1276-1234-1-ND,587-5514-1-ND,,,,
54-00164,J1,,54-00164,839-54-00164CT-ND,C431534,,,,,
USB_C_Receptacle_USB2.0,J5,,USB4105-GF-A,2073-USB4105-GF-ACT-ND,,,,,,
Conn_01x04,J6,,470531000,WM4330-ND,,,,,,
Conn_01x04,J7,,,,,DNP,,,,
72nH,L1,,FP0805R1-R07-R,,,,,,,
MMBT2222A,Q4,,MMBT2222A,,,,,,,
MMBT3906,Q1 Q3,,MMBT3906,,,,,,,
3.74k,R8,,RC0402FR-073K74L,311-3.74KLRCT-ND,,,,,,
11.8k,R9,,RC0402FR-0711K8L,YAG2958CT-ND,,,,,,
10,R11,,RC0402FR-0710RL,311-10.0LRCT-ND,,,,,,
1,R12,,CSR1206FT1R00,CSR1206FT1R00CT-ND,,,,,,
5.6k,R24,,RC0402FR-135K6L,13-RC0402FR-135K6LCT-ND,,,,,,
442,R28,,RT0402BRD07442RL,,,,,,,
549,R29,,RC0402FR-07549RL,,,,,,,
499,R30,,RC0402FR-07499RL,,,,,,,
332,R31,,RC0402FR-07332RL,,,,,,,
402,R32,,RC0402FR-07402RL,,,,,,,
33,R33,,RC0402FR-1333RL,,,,,,,
27,R34,,RC0402JR-0727RL,,,,,,,
1k,R38,,RC0402FR-071KL,,,,,,,
40.2k,R74,,RC0402JR-0710KL,311-10KJRCT-ND,,,,,,
4.64k,R1 R5 R39 R40 R80 R81 R82,,RC0402FR-0714K7L,RC0402FR-078K25L,RC0402JR-0710KL,311-10KJRCT-ND,311-8.25KLRCT-ND,YAG2984CT-ND,,
49.9,R13 R14,,RC0402FR-0749R9L,311-49.9LRCT-ND,,,,,,
10k,R15 R16 R21 R25 R36 R37 R72,,RC0402FR-0720KL,RC0402JR-0710KL,311-10KJRCT-ND,311-20.0KLRCT-ND,,,,
100,R18 R22 R23,,RC0402FR-07100RL,RC0402FR-078K25L,311-100LRCT-ND,311-8.25KLRCT-ND,,,,
0,R35 R73,,RC0402JR-0710KL,311-10KJRCT-ND,,DNP,,,,
0,R6 R10 R17 R19 R20 R26 R27 R75 R76 R77 R78 R79,,CSR1206FT1R00,RC0402FR-0720KL,RC0402FR-0768K1L,RC0402JR-070RL,311-0.0JRCT-ND,311-20.0KLRCT-ND,CSR1206FT1R00CT-ND,YAG3213CT-ND
GT-TC029B-H025-L1N,SW1 SW2,,CS1213AGF260,2449-CS1213AGF260CT-ND,,,,,,
TPS546D24ARVFR,U2,,TPS546D24ARVFR,296-TPS546D24ARVFRCT-ND,,,,,,
RT9080-33GJ5,U3,,RT9080-33GJ5,1028-1509-1-ND,,,,,,
ESP32-S3-WROOM-1,U4,,ESP32-S3-WROOM-1-N16R8,1965-ESP32-S3-WROOM-1-N16R8CT-ND,,,,,,
SPX3819M5-L-1-8,U5,,,,,,,,,
24MHz,U7,,SX3M25.000E20F30THN,,C5137262,,,,,
~,U8,,,,,DNP,,,,
SN74AVC4T774,U9,,SN74AVC4T774PWR,296-24739-1-ND,,,,,,
EMC2101,U10,,EMC2101-R-ACZL-TR,EMC2101-R-ACZL-CT-ND,,,,,,
LM358,U23,,LM358LVIPWR,,,,,,,
