Designator,Footprint,Quantity,VALUE,PARTNO,DK
+ACI-C18,C20,C19,C72+ACI-,EEF+AC0-GX,4,560uF,EEFGX0D561R ,PCE5057CT+AC0-ND 
L1,SLC1049,1,75nH,SLC1049+AC0-750MLB,
R74,R+AF8-0402+AF8-1005Metric,1,40.2k,RC0402FR+AC0-0740K2L ,311+AC0-40.2KLRCT+AC0-ND 
+ACI-R21,R72,R36,R25,R37,R15,R16+ACI-,R+AF8-0402+AF8-1005Metric,7,10k,RC0402FR+AC0-1310KL,13+AC0-RC0402FR+AC0-1310KLCT+AC0-ND
+ACI-R80,R1,R5,R82,R81+ACI-,R+AF8-0402+AF8-1005Metric,7,4.64k,RC0402FR+AC0-074K64L ,311+AC0-4.64KLRCT+AC0-ND 
R33,R+AF8-0402+AF8-1005Metric,1,33,RC0402FR+AC0-1333RL,13+AC0-RC0402FR+AC0-1333RLCT+AC0-ND
R29,R+AF8-0402+AF8-1005Metric,1,549,RC0402FR+AC0-07549RL,311+AC0-549LRCT+AC0-ND
R31,R+AF8-0402+AF8-1005Metric,1,332,RC0402FR+AC0-07332RL,311+AC0-332LRCT+AC0-ND
Q4,SOT+AC0-23,1,MMBT2222A,MMBT2222A,3372+AC0-MMBT2222ATR+AC0-ND
R30,R+AF8-0402+AF8-1005Metric,1,499,RC0402FR+AC0-07499RL,311+AC0-499LRCT+AC0-ND
U7,SMD3225+AC0-4P,1,24MHz,SX3M24.000E20F30THN,5852+AC0-SX3M24.000E20F30THNTR+AC0-ND
C12,C+AF8-0603+AF8-1608Metric,1,0.1uF,CL10B104KA8NNNC,1276+AC0-1006+AC0-1+AC0-ND
U5,SOT+AC0-23+AC0-5,1,SPX3819M5+AC0-L+AC0-1+AC0-8,SPX3819M5+AC0-L+AC0-1+AC0-8,1016+AC0-1411+AC0-ND
+ACI-Q3,Q1+ACI-,SOT+AC0-23,2,MMBT3906,MMBT3906,3372+AC0-MMBT3906TR+AC0-ND
U9,TSSOP+AC0-16+AF8-4.4x5mm+AF8-P0.65mm,1,SN74AVC4T774,SN74AVC4T774PWR,296+AC0-24739+AC0-1+AC0-ND
R34,R+AF8-0402+AF8-1005Metric,1,27,RC0402JR+AC0-0727RL,311+AC0-27JRCT+AC0-ND
R28,R+AF8-0402+AF8-1005Metric,1,442,RT0402BRD07442RL,YAG4265CT+AC0-ND
R32,R+AF8-0402+AF8-1005Metric,1,402,RC0402FR+AC0-07402RL,YAG3152CT+AC0-ND
U23,TSSOP+AC0-8+AF8-4.4x3mm+AF8-P0.65mm,1,LM358,LM358LVIPWR,296+AC0-51268+AC0-1+AC0-ND
U8,KF1950,1,+AH4-,,
