Designator,Mid X,Mid Y,Layer,Rotation
FID5,125.27,-50.31,bottom,180
FID6,78.75,-55.9,bottom,180
FID7,132.26,-139.06,bottom,180
FID8,78.85,-139.07,bottom,180
J1,84.58,-66.62,bottom,90
J5,80.865,-83.26,bottom,90
J7,103.5,-143,bottom,0
SW1,130.186,-104.448,bottom,180
SW2,130.082,-113.155,bottom,180
U1,81.994918,-74.631416,bottom,180
U4,117.43,-72.61,bottom,90
U8,105.610562,-116.546,bottom,180
C1,92.17,-82.22,top,180
C2,96.6,-69.35,top,0
C3,96.6,-63.3,top,0
C4,96.6,-66.55,top,0
C5,91.919253,-72.919077,top,180
C6,96.57,-74,top,0
C7,96.59,-72,top,0
C8,89.56,-71.13,top,0
C9,96.57,-73,top,0
C10,96.585636,-70.993183,top,0
C11,92.2,-83.72,top,-90
C12,93.4,-85.275,top,-90
C13,87.63,-77.49,top,-90
C14,99.6,-78.775,top,90
C15,110.525,-100.4,top,0
C16,110.525,-93.8,top,0
C17,110.525,-97.1,top,0
C18,104,-77.25,top,-90
C19,109.3,-77.25,top,-90
C20,110.5,-84.1,top,180
C21,111.62,-60.03,top,0
C22,131.105,-106.25,top,-90
C23,113.72,-60.03,top,180
C24,125.7,-86.25,top,0
C25,125.77,-84.75,top,0
C26,109.92,-132.739,top,0
C27,118.48,-119.8,top,180
C28,122.76659,-120.88841,top,180
C29,122.68,-113.49,top,-90
C30,114.24,-129.68,top,-90
C31,120.28659,-122.36841,top,-90
C32,118.28659,-122.40841,top,90
C33,118.53659,-117.43841,top,90
C34,95.5,-116.27,top,90
C35,110.525,-104.3,top,0
C37,101.62,-106.4,top,180
C38,110.32,-106.4,top,0
C39,110.32,-107.4,top,0
C40,101.62,-107.4,top,180
C43,101.575,-104.3,top,180
C47,125.30659,-99.88841,top,0
C49,127.51659,-101.88841,top,0
C50,93.96,-125.94,top,180
C51,90.825,-140.9,top,180
C52,90.88,-145.4,top,180
C53,97.2,-140.73,top,-90
C72,110.5,-89.4,top,180
C73,117.884,-92.456,top,180
C74,124.98,-61.5,top,0
FID1,78.74,-55.9054,top,0
FID2,125.2728,-50.292,top,0
FID3,78.8416,-139.065,top,0
FID4,132.2578,-139.065,top,0
L1,98.965,-86.2,top,0
Q1,95.2,-111.3125,top,90
Q3,105.9401,-126.4,top,0
Q4,89.75,-67.3125,top,90
R1,86.1,-75.5,top,0
R2,85.62,-72.1,top,0
R3,86.1,-74.33,top,0
R4,86.1,-73.36,top,0
R5,88,-75.72,top,0
R6,88,-72.1,top,180
R7,88.01,-74.32,top,180
R8,89.56,-70.1,top,0
R9,93.89,-73.99,top,180
R10,88.01,-73.17,top,180
R11,93.88,-72.93,top,180
R12,90.6,-85.0625,top,90
R13,86.09,-77.64,top,180
R14,86.09,-76.57,top,0
R15,113.74,-74.5,top,0
R16,129.675,-106.26,top,90
R17,118.53659,-107.89841,top,90
R18,104.31,-70.6,top,180
R19,127.54659,-103.88841,top,0
R20,93.6,-82.81,top,90
R21,127.52659,-105.63841,top,180
R22,93.38,-124.36,top,90
R23,94.52,-124.36,top,-90
R24,94.07,-135.71,top,0
R25,98.64,-140.75,top,90
R26,127.54659,-102.88841,top,0
R27,120.79659,-116.88841,top,180
R28,120.77659,-118.88841,top,180
R29,120.79659,-117.88841,top,180
R30,122.77659,-118.88841,top,180
R31,120.77659,-119.88841,top,180
R32,122.79659,-119.88841,top,0
R33,121.28659,-122.37841,top,90
R34,119.28659,-122.37841,top,90
R35,109.99,-127.75,top,180
R36,95.5,-114.26,top,90
R37,95.25,-108.26,top,90
R38,96.5,-116.26,top,90
R39,87.69,-87.3,top,0
R40,87.69,-86.1,top,0
R72,115.74,-83.25,top,0
R73,117.74,-82.25,top,0
R74,117.76,-83.25,top,180
R75,119.54659,-99.88841,top,180
R76,121.547721,-99.888127,top,0
R77,120.53659,-107.89841,top,90
R78,119.53659,-107.89841,top,90
R79,117.53659,-107.89841,top,-90
R80,104.31,-69.6,top,0
R81,104.31,-68.6,top,0
R82,104.29,-67.6,top,0
U3,112.563,-63.38,top,0
U5,110.981,-130.229,top,0
U7,119.65,-113.55,top,180
U9,122.32659,-103.26841,top,0
U10,93.895,-129.99,top,-90
U23,117.425,-87.8625,top,-90
