Ref,Val,Package,PosX,PosY,Rot,Side
"FID5","Fiducial","Fiducial_1mm_Mask2mm",125.270000,-50.310000,180.000000,bottom
"FID6","Fiducial","Fiducial_1mm_Mask2mm",78.750000,-55.900000,180.000000,bottom
"FID7","Fiducial","Fiducial_1mm_Mask2mm",132.260000,-139.060000,180.000000,bottom
"FID8","Fiducial","Fiducial_1mm_Mask2mm",78.850000,-139.070000,180.000000,bottom
"J1","54-00164","TENSILITY_54-00164",84.580000,-66.620000,90.000000,bottom
"J5","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A",80.865000,-83.260000,90.000000,bottom
"J7","Conn_01x04","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",103.500000,-143.000000,0.000000,bottom
"SW1","GT-TC029B-H025-L1N","SW_CS1213AGF260_CRS",130.186000,-104.448000,180.000000,bottom
"SW2","GT-TC029B-H025-L1N","SW_CS1213AGF260_CRS",130.082000,-113.155000,180.000000,bottom
"U1","~","polarity",81.994918,-74.631416,180.000000,bottom
"U4","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",117.430000,-72.610000,90.000000,bottom
"U8","~","KF1950",105.610562,-116.546000,180.000000,bottom
